1182,0.511,0
1183,0.511,0
1184,0.511,0
1185,0.511,0
1186,0.511,0
1187,0.511,0
1188,0.511,0
1189,0.511,0
1190,0.511,0
1191,0.511,0
1192,0.511,0
1193,0.511,0
1194,0.511,0
1195,0.511,0
1196,0.511,0
1197,0.511,0
1198,0.511,0
1199,0.511,0
1200,0.511,0
1201,0.511,0
1202,0.511,0
1203,0.511,0
1204,0.511,0
1205,0.511,0
1206,0.511,0
1207,0.511,0
1208,0.511,0
1209,0.511,0
1210,0.511,0
1211,0.511,0
1212,0.511,0
1213,0.511,0
1214,0.511,0
1215,0.511,0
1216,0.511,0
1217,0.511,0
1218,0.511,0
1219,0.511,0
1220,0.511,0
1221,0.511,0
1222,0.511,0
1223,0.511,0
1224,0.511,0
1225,0.511,0
1226,0.511,0
1227,0.511,0
1228,0.511,0
1229,0.511,0
1230,0.511,0
1231,0.511,0
1232,0.511,0
1233,0.511,0
1234,0.511,0
1235,0.511,0
1236,0.511,0
1237,0.511,0
1238,0.511,0
1239,0.511,0
1240,0.511,0
1241,0.511,0
1242,0.511,0
1243,0.511,0
1244,0.511,0
1245,0.511,0
1246,0.511,0
1247,0.511,0
1248,0.511,0
1249,0.511,0
1250,0.511,0
1251,0.511,0
1252,0.511,0
1253,0.511,0
1254,0.511,0
1255,0.511,0
1256,0.511,0
1257,0.511,0
1258,0.511,0
1259,0.511,0
1260,0.511,0
1261,0.511,0
1262,0.511,0
1263,0.511,0
1264,0.511,0
1265,0.511,0
1266,0.511,0
1267,0.511,0
1268,0.511,0
1269,0.511,0
1270,0.511,0
1271,0.511,0
1272,0.511,0
1273,0.511,0
1274,0.511,0
1275,0.511,0
1276,0.511,0
1277,0.511,0
1278,0.511,0
1279,0.511,0
1280,0.511,0
1281,0.511,0
1282,0.511,0
1283,0.511,0
1284,0.511,0
1285,0.511,0
1286,0.511,0
1287,0.511,0
1288,0.511,0
1289,0.511,0
1290,0.511,0
1291,0.511,0
1292,0.511,0
1293,0.511,0
1294,0.511,0
1295,0.511,0
1296,0.511,0
1297,0.511,0
1298,0.511,0
1299,0.511,0
1300,0.511,0
1301,0.511,0
1302,0.511,0
1303,0.511,0
1304,0.511,0
1305,0.511,0
1306,0.511,0
1307,0.511,0
1308,0.511,0
1309,0.511,0
1310,0.511,0
1311,0.511,0
1312,0.511,0
1313,0.511,0
1314,0.511,0
1315,0.511,0
1316,0.511,0
1317,0.511,0
1318,0.511,0
1319,0.511,0
1320,0.511,0
1321,0.511,0
1322,0.511,0
1323,0.511,0
1324,0.511,0
1325,0.511,0
1326,0.511,0
1327,0.511,0
1328,0.511,0
1329,0.511,0
1330,0.511,0
1331,0.511,0
1332,0.511,0
1333,0.511,0
1334,0.511,0
1335,0.511,0
1336,0.511,0
1337,0.511,0
1338,0.511,0
1339,0.511,0
1340,0.511,0
1341,0.511,0
1342,0.511,0
1343,0.511,0
1344,0.511,0
1345,0.511,0
1346,0.511,0
1347,0.511,0
1348,0.511,0
1349,0.511,0
1350,0.511,0
1351,0.511,0
1352,0.511,0
1353,0.511,0
1354,0.511,0
1355,0.511,0
1356,0.511,0
1357,0.511,0
1358,0.511,0
1359,0.511,0
1360,0.511,0
1361,0.511,0
1362,0.511,0
1363,0.511,0
1364,0.511,0
1365,0.511,0
1366,0.511,0
1367,0.511,0
1368,0.511,0
1369,0.511,0
1370,0.511,0
1371,0.511,0
1372,0.511,0
1373,0.511,0
1374,0.511,0
1375,0.511,0
1376,0.511,0
1377,0.511,0
1378,0.511,0
1379,0.511,0
1380,0.511,0
1381,0.511,0
1382,0.511,0
1383,0.511,0
1384,0.511,0
1385,0.511,0
1386,0.511,0
1387,0.511,0
1388,0.511,0
1389,0.511,0
1390,0.511,0
1391,0.511,0
1392,0.511,0
1393,0.511,0
1394,0.511,0
1395,0.511,0
1396,0.511,0
1397,0.511,0
1398,0.511,0
1399,0.511,0
1400,0.511,0
1401,0.511,0
1402,0.511,0
1403,0.511,0
1404,0.511,0
1405,0.511,0
1406,0.511,0
1407,0.511,0
1408,0.511,0
1409,0.511,0
1410,0.511,0
1411,0.511,0
1412,0.511,0
1413,0.511,0
1414,0.511,0
1415,0.511,0
1416,0.511,0
1417,0.511,0
1418,0.511,0
1419,0.511,0
1420,0.511,0
1421,0.511,0
1422,0.511,0
1423,0.511,0
1424,0.511,0
1425,0.511,0
1426,0.511,0
1427,0.511,0
1428,0.511,0
1429,0.511,0
1430,0.511,0
1431,0.511,0
1432,0.511,0
1433,0.511,0
1434,0.511,0
1435,0.511,0
